Shape: (285, 45)
Columns (45):
   0: episode_index
   1: frame_index
   2: timestamp
   3: L_sh_pitch
   4: L_sh_roll
   5: L_sh_yaw
   6: L_el_pitch
   7: L_el_roll
   8: L_wr_yaw
   9: L_wr_pitch
  10: R_sh_pitch
  11: R_sh_roll
  12: R_sh_yaw
  13: R_el_pitch
  14: R_el_roll
  15: R_wr_yaw
  16: R_wr_pitch
  17: state_L_sh_pitch
  18: state_L_sh_roll
  19: state_L_sh_yaw
  20: state_L_el_pitch
  21: state_L_el_roll
  22: state_L_wr_yaw
  23: state_L_wr_pitch
  24: state_R_sh_pitch
  25: state_R_sh_roll
  26: state_R_sh_yaw
  27: state_R_el_pitch
  28: state_R_el_roll
  29: state_R_wr_yaw
  30: state_R_wr_pitch
  31: gripper_L
  32: gripper_R
  33: eeL_x
  34: eeL_y
  35: eeL_z
  36: eeL_roll
  37: eeL_pitch
  38: eeL_yaw
  39: eeR_x
  40: eeR_y
  41: eeR_z
  42: eeR_roll
  43: eeR_pitch
  44: eeR_yaw

     episode_index  frame_index  timestamp  L_sh_pitch  L_sh_roll  L_sh_yaw  L_el_pitch  L_el_roll  L_wr_yaw  L_wr_pitch  R_sh_pitch  R_sh_roll  R_sh_yaw  R_el_pitch  R_el_roll  R_wr_yaw  R_wr_pitch  state_L_sh_pitch  state_L_sh_roll  state_L_sh_yaw  state_L_el_pitch  state_L_el_roll  state_L_wr_yaw  state_L_wr_pitch  state_R_sh_pitch  state_R_sh_roll  state_R_sh_yaw  state_R_el_pitch  state_R_el_roll  state_R_wr_yaw  state_R_wr_pitch  gripper_L  gripper_R    eeL_x    eeL_y    eeL_z  eeL_roll  eeL_pitch   eeL_yaw    eeR_x     eeR_y    eeR_z  eeR_roll  eeR_pitch   eeR_yaw
20               0           20   0.666700    0.480930   0.001627  0.004424    0.455758  -0.031425  0.014937   -0.067676   -0.482661  -0.010903  0.007941   -0.480922   0.000815 -0.003757    0.017181          0.478020         0.004794        0.009346          0.463302        -0.029564        0.015450         -0.071145         -0.481471        -0.011313        0.012779         -0.490005         0.007057       -0.009346          0.000954   0.000000   0.000000 0.329210 0.222352 0.758946 -0.032421  -0.042947 -0.017431 0.329950 -0.230133 0.761572 -0.012523  -0.015449  0.001976
21               0           21   0.700000    0.480779   0.000979  0.004126    0.455775  -0.031817  0.014555   -0.067819   -0.480718  -0.009286  0.008662   -0.479486  -0.000971 -0.000780    0.022323          0.478020         0.004794        0.009346          0.463302        -0.030327        0.015450         -0.070764         -0.481471        -0.011313        0.012779         -0.490005         0.003624       -0.009346          0.005531   0.000000   0.000000 0.329252 0.222462 0.759014 -0.033239  -0.043258 -0.016436 0.330444 -0.230689 0.762378 -0.013212  -0.021140 -0.002327
22               0           22   0.733300    0.480670   0.000619  0.003982    0.456028  -0.032007  0.014525   -0.067224   -0.477648  -0.007565  0.011002   -0.477375   0.004036 -0.000647    0.027712          0.478020         0.004794        0.009346          0.463302        -0.030709        0.015450         -0.070764         -0.481471        -0.011313        0.012779         -0.490005         0.002098       -0.007820          0.009728   0.000000   0.000000 0.329298 0.222484 0.759062 -0.033675  -0.043031 -0.016109 0.331254 -0.231531 0.763288 -0.007743  -0.027512 -0.005434
23               0           23   0.766700    0.480984   0.000947  0.004680    0.456314  -0.030373  0.014671   -0.068517   -0.471491  -0.001104  0.014240   -0.473715   0.012479  0.002516    0.031513          0.478020         0.004794        0.009346          0.463302        -0.031472        0.015450         -0.070764         -0.481088        -0.011313        0.012779         -0.490005         0.000191       -0.005150          0.016976   0.000000   0.000000 0.329207 0.222192 0.759279 -0.032080  -0.044281 -0.017091 0.332871 -0.232675 0.764235  0.005036  -0.033777 -0.014843
24               0           24   0.800000    0.481284   0.003476  0.005883    0.455930  -0.028183  0.016767   -0.069717   -0.463582   0.000976  0.015539   -0.467250   0.010625  0.005546    0.043363          0.478020         0.004794        0.009346          0.463302        -0.032235        0.015450         -0.070382         -0.479170        -0.011313        0.012779         -0.489624         0.002861       -0.002861          0.021935   0.000000   0.000000 0.329108 0.221652 0.759242 -0.028267  -0.044793 -0.021611 0.334925 -0.233449 0.765940  0.004575  -0.047041 -0.020058
25               0           25   0.833300    0.481342   0.004505  0.006080    0.455824  -0.027288  0.017356   -0.069466   -0.458333   0.004238  0.016556   -0.466027   0.013345  0.007707    0.043686          0.478020         0.004794        0.009346          0.463302        -0.031853        0.015450         -0.070382         -0.477253        -0.010929        0.013161         -0.487716         0.004768       -0.002098          0.027657   0.000000   0.000000 0.329094 0.221595 0.759158 -0.026566  -0.044363 -0.022956 0.336410 -0.233834 0.767166  0.009891  -0.051297 -0.024834
26               0           26   0.866700    0.481872   0.005649  0.006693    0.455439  -0.025673  0.018078   -0.072200   -0.450915   0.007009  0.017024   -0.465751   0.016980  0.008614    0.041210          0.478020         0.004794        0.009346          0.463302        -0.031472        0.015450         -0.070382         -0.469200        -0.009779        0.013161         -0.481231         0.004768        0.001335          0.034524   0.000000   0.000000 0.328901 0.221357 0.759250 -0.024260  -0.046153 -0.024827 0.338617 -0.233851 0.769116  0.016019  -0.055854 -0.027634
27               0           27   0.900000    0.482030   0.006047  0.006836    0.455078  -0.025092  0.018232   -0.072837   -0.448533   0.006343  0.016655   -0.466098   0.014772  0.009030    0.040414          0.478020         0.004794        0.009346          0.463302        -0.030327        0.015831         -0.070764         -0.459229        -0.007862        0.013161         -0.473983         0.009728        0.003624          0.035286   0.000000   0.000000 0.328834 0.221317 0.759148 -0.023407  -0.046257 -0.025331 0.339359 -0.233821 0.769981  0.013443  -0.057815 -0.027306
28               0           28   0.933300    0.482365   0.006779  0.007099    0.454931  -0.024202  0.018505   -0.072972   -0.441190   0.006275  0.017609   -0.464828   0.012487  0.010474    0.046952          0.478020         0.004794        0.009346          0.463302        -0.029946        0.016213         -0.071908         -0.455011        -0.006328        0.013161         -0.471695         0.010872        0.004768          0.035286   0.000000   0.000000 0.328727 0.221243 0.759007 -0.022008  -0.045886 -0.026262 0.341429 -0.234452 0.772961  0.010912  -0.070436 -0.029547
29               0           29   0.966700    0.482955   0.007619  0.007795    0.455433  -0.023026  0.018889   -0.072340   -0.431993   0.006361  0.018996   -0.463972   0.013106  0.011128    0.045372          0.478020         0.004794        0.009346          0.463302        -0.029183        0.016213         -0.071908         -0.445807        -0.003643        0.013161         -0.471313         0.011635        0.004768          0.037194   0.000000   0.000000 0.328572 0.220973 0.758937 -0.020428  -0.045137 -0.027770 0.344121 -0.235139 0.775538  0.011311  -0.077185 -0.031490
30               0           30   1.000000    0.483241   0.008160  0.008263    0.455556  -0.022465  0.019302   -0.072578   -0.428681   0.005610  0.019647   -0.463969   0.013850  0.010432    0.043240          0.478020         0.004794        0.009346          0.463302        -0.028801        0.016213         -0.071908         -0.436987        -0.002109        0.013161         -0.471313         0.011635        0.004768          0.039101   0.000000   0.000000 0.328488 0.220770 0.758936 -0.019622  -0.045199 -0.028896 0.345126 -0.235410 0.776384  0.011178  -0.078386 -0.031014
